id	name	symbol	chromosome	start	stop
PA24356	alpha-1-B glycoprotein	A1BG	19	58346806 	58353499 
PA165392995	A1BG antisense RNA 1	A1BG-AS1	19	58351970 	58355183 
PA162375098	APOBEC1 complementation factor	A1CF	10	50799409 	50885681 
PA24357	alpha-2-macroglobulin	A2M	12	9067708 	9115962 
PA142670460	alpha-2-macroglobulin like 1	A2ML1	12	8822472 	8887202 
PA24358	alpha-2-macroglobulin pseudogene 1	A2MP1	12	9228533 	9234207 
PA142670461	"alpha 1,3-galactosyltransferase 2"	A3GALT2	1	33306766 	33321098 
PA24359	"alpha 1,4-galactosyltransferase (P blood group)"	A4GALT	22	42692115 	42721301 
PA134960042	"alpha-1,4-N-acetylglucosaminyltransferase"	A4GNT	3	138123718 	138133310 
PA24361	aladin WD repeat nucleoporin	AAAS	12	53307456 	53321628 
PA134940696	acetoacetyl-CoA synthetase	AACS	12	125065367 	125143333 
PA134883395	acetoacetyl-CoA synthetase pseudogene 1	AACSP1	5	178764861 	178818435 
PA24363	arylacetamide deacetylase	AADAC	3	151814008 	151828488 
PA142670463	arylacetamide deacetylase like 2	AADACL2	3	151733916 	151758016 
PA145147526	arylacetamide deacetylase like 3	AADACL3	1	12716115 	12728759 
PA145147537	arylacetamide deacetylase like 4	AADACL4	1	12644547 	12667086 
PA24364	aminoadipate aminotransferase	AADAT	4	170060222 	170091699 
PA165478457	alpha and gamma adaptin binding protein	AAGAB	15	67200675 	67255198 
PA134990616	AP2 associated kinase 1	AAK1	2	69457995 	69643845 
PA144596486	adipogenesis associated Mth938 domain containing	AAMDC	11	77821114 	77901281 
PA24365	angio associated migratory cell protein	AAMP	2	218264129 	218270209 
PA24366	aralkylamine N-acetyltransferase	AANAT	17	76453351 	76470797 
PA25753	AAR2 splicing factor	AAR2	20	36236136 	36256941 
PA164717502	alanine and arginine rich domain containing protein	AARD	8	116937960 	116944000 
PA24367	alanyl-tRNA synthetase	AARS	16	70252295 	70289552 
PA162375129	"alanyl-tRNA synthetase 2, mitochondrial"	AARS2	6	44297850 	44313358 
PA142670464	alanyl-tRNA synthetase domain containing 1	AARSD1	17	42950526 	42964498 
PA162375178	aminoadipate-semialdehyde dehydrogenase	AASDH	4	56337687 	56387677 
PA24368	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	11	106077565 	106098692 
PA24369	aminoadipate-semialdehyde synthase	AASS	7	122073544 	122144290 
PA128395780	apoptosis antagonizing transcription factor	AATF	17	36948875 	37056871 
PA24370	apoptosis associated tyrosine kinase	AATK	17	81117295 	81166072 
PA24371	adeno-associated virus integration site 1	AAVS1	19		
PA24372	4-aminobutyrate aminotransferase	ABAT	16	8674587 	8784575 
PA24373	ATP binding cassette subfamily A member 1	ABCA1	9	104781002 	104928246 
PA24374	ATP binding cassette subfamily A member 10	ABCA10	17	69148007 	69244815 
PA24375	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	ABCA11P	4	425435 	474209 
PA29604	ATP binding cassette subfamily A member 12	ABCA12	2	214931542 	215138591 
PA134925234	ATP binding cassette subfamily A member 13	ABCA13	7	48171424 	48647497 
PA24377	ATP binding cassette subfamily A member 2	ABCA2	9	137007234 	137028922 
PA24378	ATP binding cassette subfamily A member 3	ABCA3	16	2275878 	2340746 
PA24379	ATP binding cassette subfamily A member 4	ABCA4	1	93992837 	94121149 
PA24380	ATP binding cassette subfamily A member 5	ABCA5	17	69244435 	69327182 
PA24381	ATP binding cassette subfamily A member 6	ABCA6	17	69062044 	69142188 
PA24382	ATP binding cassette subfamily A member 7	ABCA7	19	1040103 	1065572 
PA24383	ATP binding cassette subfamily A member 8	ABCA8	17	68867285 	68955426 
PA24384	ATP binding cassette subfamily A member 9	ABCA9	17	68974632 	69078978 
PA267	ATP binding cassette subfamily B member 1	ABCB1	7	87503863 	87713323 
PA24385	ATP binding cassette subfamily B member 10	ABCB10	1	229516582 	229558987 
PA24386	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1"	ABCB10P1	15	23179882 	23183659 
PA374	ATP binding cassette subfamily B member 11	ABCB11	2	168915468 	169031396 
PA268	ATP binding cassette subfamily B member 4	ABCB4	7	87399461 	87475864 
PA24387	ATP binding cassette subfamily B member 5	ABCB5	7	20615622 	20757014 
PA24388	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	2	219209766 	219218990 
PA24389	ATP binding cassette subfamily B member 7	ABCB7	X	75053172 	75156340 
PA24390	ATP binding cassette subfamily B member 8	ABCB8	7	151028422 	151047782 
PA24391	ATP binding cassette subfamily B member 9	ABCB9	12	122918708 	122975160 
PA244	ATP binding cassette subfamily C member 1	ABCC1	16	15949577 	16143074 
PA24392	ATP binding cassette subfamily C member 10	ABCC10	6	43427538 	43451994 
PA24393	ATP binding cassette subfamily C member 11	ABCC11	16	48164842 	48249973 
PA24394	ATP binding cassette subfamily C member 12	ABCC12	16	48082973 	48146770 
PA134875904	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"	ABCC13	21	14273799 	14301386 
PA116	ATP binding cassette subfamily C member 2	ABCC2	10	99782598 	99853741 
PA376	ATP binding cassette subfamily C member 3	ABCC3	17	50634843 	50691704 
